Country/Regional Local Authority,ONS area code,Notes,Period,Observation
Nottinghamshire,E10000024,,2020,29.4
West Northamptonshire ,E06000062,data-not-available,2020,
West Midlands (Region),E12000005,,2020,26.9
"Herefordshire, County of UA",E06000019,,2020,32.8
Shropshire UA,E06000051,,2020,34.2
Stoke-on-Trent UA,E06000021,,2020,20.5
Telford and Wrekin UA,E06000020,,2020,37.2
Staffordshire,E10000028,,2020,30.0
Warwickshire,E10000031,,2020,30.9
Worcestershire,E10000034,,2020,32.0
West Midlands (Met County),E11000005,,2020,21.3
Birmingham,E08000025,,2020,20.0
Coventry,E08000026,,2020,23.9
Dudley,E08000027,,2020,19.7
Sandwell,E08000028,,2020,21.0
Solihull,E08000029,,2020,31.5
Walsall,E08000030,,2020,22.3
Wolverhampton,E08000031,,2020,18.7
Greater London (Region),E12000007,,2020,15.3
Inner London,E13000001,,2020,11.2
Camden,E09000007,,2020,8.6
City of London,E09000001,,2020,8.7
Hackney,E09000012,,2020,11.6
Hammersmith and Fulham,E09000013,,2020,13.4
Haringey,E09000014,,2020,10.6
Islington,E09000019,,2020,9.6
Kensington and Chelsea,E09000020,,2020,10.4
Lambeth,E09000022,,2020,9.4
Lewisham,E09000023,,2020,10.1
Newham,E09000025,,2020,17.6
Southwark,E09000028,,2020,9.1
Tower Hamlets,E09000030,,2020,15.1
Wandsworth,E09000032,,2020,10.6
Westminster,E09000033,,2020,9.4
Outer London,E13000002,,2020,18.2
Barking and Dagenham,E09000002,,2020,18.4
Barnet,E09000003,,2020,18.1
Bexley,E09000004,,2020,21.8
Brent,E09000005,,2020,17.0
Bromley,E09000006,,2020,16.8
Croydon,E09000008,,2020,14.1
Ealing,E09000009,,2020,18.9
Enfield,E09000010,,2020,16.1
Greenwich,E09000011,,2020,16.2
Harrow,E09000015,,2020,17.4
Havering,E09000016,,2020,25.1
Hillingdon,E09000017,,2020,27.3
Hounslow,E09000018,,2020,17.2
Kingston upon Thames,E09000021,,2020,22.4
Merton,E09000024,,2020,12.4
Redbridge,E09000026,,2020,21.9
Richmond upon Thames,E09000027,,2020,15.0
Sutton,E09000029,,2020,14.2
Waltham Forest,E09000031,,2020,17.0
East of England (Region),E12000006,,2020,31.0
Bedford UA,E06000055,,2020,25.6
Central Bedfordshire UA,E06000056,,2020,33.3
Luton UA,E06000032,,2020,21.0
Peterborough UA,E06000031,,2020,36.3
Southend-on-Sea UA,E06000033,,2020,19.5
Thurrock UA,E06000034,,2020,30.9
Cambridgeshire,E10000003,,2020,33.2
Essex,E10000012,,2020,31.0
Hertfordshire,E10000015,,2020,30.7
Norfolk,E10000020,,2020,32.7
Suffolk,E10000029,,2020,31.1
South West (Region),E12000009,,2020,28.8
Bath and North East Somerset UA,E06000022,,2020,25.2
"Bournemouth, Christchurch and Poole UA",E06000058,,2020,22.5
"Bristol, City of UA",E06000023,,2020,17.3
Cornwall UA,E06000052,,2020,29.9
Isles of Scilly UA,E06000053,data-not-available,2020,
North Somerset UA,E06000024,,2020,32.5
Plymouth UA,E06000026,,2020,16.9
South Gloucestershire UA,E06000025,,2020,27.6
Swindon UA,E06000030,,2020,25.2
Torbay UA,E06000027,,2020,23.2
Wiltshire UA,E06000054,,2020,32.0
Devon,E10000008,,2020,33.0
Dorset,E06000059,,2020,35.4
Gloucestershire,E10000013,,2020,30.0
Somerset,E10000027,,2020,31.6
South East (Region),E12000008,,2020,27.8
Bracknell Forest UA,E06000036,,2020,29.1
Brighton and Hove UA,E06000043,,2020,13.3
Isle of Wight UA,E06000046,,2020,19.5
Medway UA,E06000035,,2020,26.4
Milton Keynes UA,E06000042,,2020,36.0
Portsmouth UA,E06000044,,2020,19.0
Reading UA,E06000038,,2020,15.2
Slough UA,E06000039,,2020,16.1
Southampton UA,E06000045,,2020,15.8
West Berkshire UA,E06000037,,2020,29.7
Windsor and Maidenhead UA,E06000040,,2020,28.1
Wokingham UA,E06000041,,2020,25.5
Buckinghamshire,E10000002,,2020,29.8
East Sussex,E10000011,,2020,27.2
Hampshire,E10000014,,2020,32.8
Kent,E10000016,,2020,29.3
Oxfordshire,E10000025,,2020,31.3
Surrey,E10000030,,2020,26.3
West Sussex,E10000032,,2020,30.0
Country/Regional Local Authority,ONS area ,,2021,2021.0
County Durham UA,E06000047,,2021,29.7
Darlington UA,E06000005,,2021,27.5
Hartlepool UA,E06000001,,2021,31.4
Middlesbrough UA,E06000002,,2021,26.5
Northumberland UA,E06000048,,2021,32.5
Redcar and Cleveland UA,E06000003,,2021,33.7
Stockton-on-Tees UA,E06000004,,2021,24.5
Tyne and Wear (Met County),E11000004,,2021,21.2
Gateshead,E08000020,,2021,21.4
Newcastle upon Tyne,E08000021,,2021,18.3
North Tyneside,E08000022,,2021,22.4
South Tyneside,E08000023,,2021,19.8
Sunderland,E08000024,,2021,23.5
North West (Region),E12000002,,2021,23.3
Blackburn with Darwen UA,E06000008,,2021,19.0
Blackpool UA,E06000009,,2021,17.5
Cheshire East UA,E06000049,,2021,30.2
Cheshire West and Chester UA,E06000050,,2021,28.6
Halton UA,E06000006,,2021,38.0
Warrington UA,E06000007,,2021,23.8
Cumbria,E10000006,,2021,31.7
Lancashire,E10000017,,2021,25.3
Greater Manchester (Met County),E11000001,,2021,19.1
Bolton,E08000001,,2021,21.8
Bury,E08000002,,2021,18.7
Manchester,E08000003,,2021,16.7
Oldham,E08000004,,2021,19.5
Rochdale,E08000005,,2021,19.2
Salford,E08000006,,2021,18.9
Stockport,E08000007,,2021,20.4
Tameside,E08000008,,2021,17.1
Trafford,E08000009,,2021,19.4
Wigan,E08000010,,2021,20.3
Merseyside (Met County),E11000002,,2021,20.7
Knowsley,E08000011,,2021,28.3
Liverpool,E08000012,,2021,16.4
Sefton,E08000014,,2021,21.3
St. Helens,E08000013,,2021,25.1
Wirral,E08000015,,2021,22.9
Yorkshire and the Humber (Region),E12000003,,2021,25.6
